"substrate","od_wave","set","plate","well","tp","sheet","od","sample","evolved","population","blank","sd_blank","od_cor","time"
"dml-alpha-glycerol phosphate",590,"set_1",18,"H_2","T6","Sheet1",0.291,"anc4","ancestor","ancestor",0.04,0.000894427190999917,0.251,6
"dml-alpha-glycerol phosphate",590,"set_2",13,"H_6","T6","Sheet1",0.413,"38","without_community","wt-4",0.04,0.000894427190999917,0.373,6
"dml-alpha-glycerol phosphate",590,"set_2",5,"H_6","T5","Sheet1",0.351,"14","with_community","wt-b4",0.04,0.000894427190999917,0.311,5
"dml-alpha-glycerol phosphate",590,"set_3",12,"H_10","T6","Sheet1",0.388,"36","without_community","wt-3",0.04,0.000894427190999917,0.348,6
"dml-alpha-glycerol phosphate",590,"set_2",10,"H_6","T6","Sheet1",0.41,"29","without_community","wt-2",0.04,0.000894427190999917,0.37,6
"dml-alpha-glycerol phosphate",590,"set_1",12,"H_2","T4","Sheet1",0.496,"34","without_community","wt-3",0.04,0.000894427190999917,0.456,4
"dml-alpha-glycerol phosphate",590,"set_2",13,"H_6","T5","Sheet1",0.467,"38","without_community","wt-4",0.04,0.000894427190999917,0.427,5
"dml-alpha-glycerol phosphate",590,"set_1",7,"H_2","T6","Sheet1",0.288,"19","with_community","wt-b5",0.04,0.000894427190999917,0.248,6
"dml-alpha-glycerol phosphate",590,"set_1",10,"H_2","T4","Sheet1",0.465,"28","without_community","wt-1",0.04,0.000894427190999917,0.425,4
"dml-alpha-glycerol phosphate",600,"set_1",4,"H_2","T1","Sheet1",0.06,"10","with_community","wt-b3",0.04,0.000996204919895623,0.02,1
"dml-alpha-glycerol phosphate",600,"set_1",16,"H_2","T3","Sheet1",0.359,"46","without_community","wt-6",0.04,0.000996204919895623,0.319,3
"dml-alpha-glycerol phosphate",600,"set_1",15,"H_2","T3","Sheet1",0.307,"43","without_community","wt-5",0.04,0.000996204919895623,0.267,3
"dml-alpha-glycerol phosphate",600,"set_1",15,"H_2","T5","Sheet1",0.412,"43","without_community","wt-5",0.04,0.000996204919895623,0.372,5
"dml-alpha-glycerol phosphate",600,"set_1",16,"H_2","T5","Sheet1",0.324,"46","without_community","wt-6",0.04,0.000996204919895623,0.284,5
"dml-alpha-glycerol phosphate",600,"set_1",6,"H_2","T6","Sheet1",0.278,"16","with_community","wt-b4",0.04,0.000996204919895623,0.238,6
"dml-alpha-glycerol phosphate",600,"set_3",11,"H_10","T1","Sheet1",0.045,"33","without_community","wt-3",0.04,0.000996204919895623,0.005,1
"dml-alpha-glycerol phosphate",600,"set_1",8,"H_2","T6","Sheet1",0.225,"22","with_community","wt-b6",0.04,0.000996204919895623,0.185,6
"dml-alpha-glycerol phosphate",600,"set_1",3,"H_2","T4","Sheet1",0.276,"7","with_community","wt-b2",0.04,0.000996204919895623,0.236,4
"dml-alpha-glycerol phosphate",600,"set_2",4,"H_6","T5","Sheet1",0.26,"11","with_community","wt-b3",0.04,0.000996204919895623,0.22,5
"dml-alpha-glycerol phosphate",600,"set_1",13,"H_2","T4","Sheet1",0.485,"37","without_community","wt-4",0.04,0.000996204919895623,0.445,4
"dml-alpha-glycerol phosphate",600,"set_1",15,"H_2","T4","Sheet1",0.376,"43","without_community","wt-5",0.04,0.000996204919895623,0.336,4
"dml-alpha-glycerol phosphate",600,"set_2",18,"H_6","T3","Sheet1",0.391,"anc5","ancestor","ancestor",0.04,0.000996204919895623,0.351,3
"dml-alpha-glycerol phosphate",600,"set_2",12,"H_6","T5","Sheet1",0.504,"35","without_community","wt-3",0.04,0.000996204919895623,0.464,5
"dml-alpha-glycerol phosphate",600,"set_2",1,"H_6","T3","Sheet1",0.336,"2","with_community","wt-b1",0.04,0.000996204919895623,0.296,3
"dml-alpha-glycerol phosphate",600,"set_2",1,"H_6","T1","Sheet1",0.055,"2","with_community","wt-b1",0.04,0.000996204919895623,0.015,1
"dml-alpha-glycerol phosphate",600,"set_2",13,"H_6","T1","Sheet1",0.056,"38","without_community","wt-4",0.04,0.000996204919895623,0.016,1
"dml-alpha-glycerol phosphate",600,"set_1",11,"H_2","T2","Sheet1",0.309,"31","without_community","wt-2",0.04,0.000996204919895623,0.269,2
"dml-alpha-glycerol phosphate",600,"set_1",14,"H_2","T1","Sheet1",0.057,"40","without_community","wt-4",0.04,0.000996204919895623,0.017,1
"dml-alpha-glycerol phosphate",600,"set_3",11,"H_10","T2","Sheet1",0.045,"33","without_community","wt-3",0.04,0.000996204919895623,0.005,2
"dml-alpha-glycerol phosphate",600,"set_3",11,"H_10","T5","Sheet1",0.046,"33","without_community","wt-3",0.04,0.000996204919895623,0.006,5
"dml-alpha-glycerol phosphate",600,"set_2",9,"H_6","T5","Sheet1",0.592,"26","without_community","wt-1",0.04,0.000996204919895623,0.552,5
"dml-alpha-glycerol phosphate",600,"set_3",12,"H_10","T2","Sheet1",0.259,"36","without_community","wt-3",0.04,0.000996204919895623,0.219,2
"dml-alpha-glycerol phosphate",600,"set_3",2,"H_10","T3","Sheet1",0.314,"6","with_community","wt-b2",0.04,0.000996204919895623,0.274,3
"dml-alpha-glycerol phosphate",600,"set_1",13,"H_2","T6","Sheet1",0.443,"37","without_community","wt-4",0.04,0.000996204919895623,0.403,6
"dml-alpha-glycerol phosphate",600,"set_2",14,"H_6","T1","Sheet1",0.053,"41","without_community","wt-5",0.04,0.000996204919895623,0.013,1
"dml-alpha-glycerol phosphate",600,"set_2",11,"H_6","T3","Sheet1",0.468,"32","without_community","wt-2",0.04,0.000996204919895623,0.428,3
"dml-alpha-glycerol phosphate",600,"set_2",14,"H_6","T5","Sheet1",0.406,"41","without_community","wt-5",0.04,0.000996204919895623,0.366,5
